text,target
ZONE_TEMP_SP,zoneTempSp
zone-temp-setpoint,zoneTempSp
ZnTempSP,zoneTempSp
room_temperature_setpoint,zoneTempSp
DISCHARGE_TEMP,dischargeTemp
disch-temp,dischargeTemp
DAT,dischargeTemp
supply_air_temp,dischargeTemp
RETURN_TEMP,returnTemp
ret-temp,returnTemp
RAT,returnTemp
return_air_temperature,returnTemp
COOLING_VLV,coolingValve
clg-valve,coolingValve
CHW_VLV,coolingValve
cooling_valve_cmd,coolingValve
HEATING_VLV,heatingValve
htg-valve,heatingValve
HW_VLV,heatingValve
heating_valve_cmd,heatingValve
